use_case,algorithm,shape,maze_file,time_sec,path_len_cells,path_len_euclidean,nodes_explored,notes
UC2_PathQuality,ThetaStar,Diamond,BEST_Diamond_100x100_Eller.maze,0.011967,0,0.0000,4357,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,BidirectionalDijkstra,Diamond,BEST_Diamond_100x100_Eller.maze,0.008962,0,0.0000,4366,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,DStarLite,Diamond,BEST_Diamond_100x100_Eller.maze,0.001529,0,0.0000,9,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,ALT,Diamond,BEST_Diamond_100x100_Eller.maze,0.038004,0,0.0000,4357,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,AHPP,Diamond,BEST_Diamond_100x100_Eller.maze,0.044910,2,99.0051,474,path_length=1 cell_euc_ratio=0.020
UC2_PathQuality,ThetaStar,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.010768,212,382.1665,3776,path_length=211 cell_euc_ratio=0.555
UC2_PathQuality,BidirectionalDijkstra,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.012811,423,422.0000,6140,path_length=422 cell_euc_ratio=1.002
UC2_PathQuality,DStarLite,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.075882,423,422.0000,9625,path_length=422 cell_euc_ratio=1.002
UC2_PathQuality,ALT,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.161147,423,422.0000,2507,path_length=422 cell_euc_ratio=1.002
UC2_PathQuality,AHPP,Rectangle,BEST_Rectangle_100x100_Eller.maze,0.085761,2,140.0071,978,path_length=1 cell_euc_ratio=0.014
UC2_PathQuality,ThetaStar,Star,BEST_Star_100x100_Eller.maze,0.005462,0,0.0000,2204,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,BidirectionalDijkstra,Star,BEST_Star_100x100_Eller.maze,0.004649,0,0.0000,2205,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,DStarLite,Star,BEST_Star_100x100_Eller.maze,0.001502,0,0.0000,1,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,ALT,Star,BEST_Star_100x100_Eller.maze,0.023792,0,0.0000,2204,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,AHPP,Star,BEST_Star_100x100_Eller.maze,0.033787,0,0.0000,167,path_length=-1 cell_euc_ratio=0.000
UC2_PathQuality,ThetaStar,Triangle,BEST_Triangle_100x100_Prim.maze,0.009618,87,221.1127,3600,path_length=86 cell_euc_ratio=0.393
UC2_PathQuality,BidirectionalDijkstra,Triangle,BEST_Triangle_100x100_Prim.maze,0.005032,235,234.0000,2300,path_length=234 cell_euc_ratio=1.004
UC2_PathQuality,DStarLite,Triangle,BEST_Triangle_100x100_Prim.maze,0.034771,235,234.0000,4431,path_length=234 cell_euc_ratio=1.004
UC2_PathQuality,ALT,Triangle,BEST_Triangle_100x100_Prim.maze,0.076655,235,234.0000,235,path_length=234 cell_euc_ratio=1.004
UC2_PathQuality,AHPP,Triangle,BEST_Triangle_100x100_Prim.maze,0.047749,3,140.2203,895,path_length=2 cell_euc_ratio=0.021
UC3_NodesExplored,ThetaStar,Circle,BEST_Circle_100x100_Kruskal.maze,0.010664,126,215.8823,4082,path_length=125 pct_grid=51.9%
UC3_NodesExplored,BidirectionalDijkstra,Circle,BEST_Circle_100x100_Kruskal.maze,0.005519,245,244.0000,2878,path_length=244 pct_grid=36.6%
UC3_NodesExplored,DStarLite,Circle,BEST_Circle_100x100_Kruskal.maze,0.028798,245,244.0000,3417,path_length=244 pct_grid=43.5%
UC3_NodesExplored,ALT,Circle,BEST_Circle_100x100_Kruskal.maze,0.124273,245,244.0000,1516,path_length=244 pct_grid=19.3%
UC3_NodesExplored,AHPP,Circle,BEST_Circle_100x100_Kruskal.maze,0.071275,2,99.8499,578,path_length=1 pct_grid=7.4%
UC3_NodesExplored,ThetaStar,Cross,BEST_Cross_100x100_Eller.maze,0.005777,125,256.4975,2364,path_length=124 pct_grid=42.9%
UC3_NodesExplored,BidirectionalDijkstra,Cross,BEST_Cross_100x100_Eller.maze,0.006541,278,277.0000,3035,path_length=277 pct_grid=55.1%
UC3_NodesExplored,DStarLite,Cross,BEST_Cross_100x100_Eller.maze,0.035716,278,277.0000,4392,path_length=277 pct_grid=79.7%
UC3_NodesExplored,ALT,Cross,BEST_Cross_100x100_Eller.maze,0.036730,278,277.0000,2396,path_length=277 pct_grid=43.5%
UC3_NodesExplored,AHPP,Cross,BEST_Cross_100x100_Eller.maze,0.049625,2,104.0433,550,path_length=1 pct_grid=10.0%
UC3_NodesExplored,ThetaStar,Diamond,BEST_Diamond_100x100_Eller.maze,0.010935,0,0.0000,4357,path_length=-1 pct_grid=85.4%
UC3_NodesExplored,BidirectionalDijkstra,Diamond,BEST_Diamond_100x100_Eller.maze,0.008779,0,0.0000,4366,path_length=-1 pct_grid=85.6%
UC3_NodesExplored,DStarLite,Diamond,BEST_Diamond_100x100_Eller.maze,0.001513,0,0.0000,9,path_length=-1 pct_grid=0.2%
UC3_NodesExplored,ALT,Diamond,BEST_Diamond_100x100_Eller.maze,0.038581,0,0.0000,4357,path_length=-1 pct_grid=85.4%
UC3_NodesExplored,AHPP,Diamond,BEST_Diamond_100x100_Eller.maze,0.045959,2,99.0051,474,path_length=1 pct_grid=9.3%
